Component,Name,Link (Amazon)
Microcontroller (x3),3 Raspberry Pi Pico,https://www.amazon.com/seeed-studio-Raspberry-Microcontroller-Dual-core/dp/B08TQSDP28/ref=sr_1_4?crid=1UIFPW3C9G8P1&keywords=raspberry%2Bpi%2Bpico&qid=1699385608&sprefix=Raspberry%2BPi%2BPico%2Caps%2C341&sr=8-4&th=1
" p,T,z
  measure",1 Adafruit BMP388,https://www.amazon.it/Adafruit-BMP388-Precision-Barometric-Altimeter/dp/B07Q8T4LLG
GPS,1 BN-220,https://www.amazon.com/Navigation-Raspberry-Betaflight-Geekstory-Shipping/dp/B07PRDY6DS
Camera (x2),2 Quelima SQ11,https://www.amazon.com/Spy-Camera-Hidden-Surveillance-Security/dp/B0822WSW6Z/ref=sr_1_fkmr1_1?crid=F8DMK97CF9OG&keywords=Quelima+SQ11&qid=1699913445&sprefix=quelima+sq11%2Caps%2C361&sr=8-1-fkmr1
Tilt sensro and accelerometer(x2),1 MPU6050,https://www.amazon.it/ARCELI-giroscopio-accelerometro-Accelerometer-Convertitore/dp/B07BVXN2GP/ref=sr_1_5?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=CICDUBJU6K3T&keywords=MPu6050&qid=1699208903&sprefix=mpu6050%2Caps%2C145&sr=8-5
Pitot tube airspeed sensor,1 MPXV7002DP CJMCU-36 airspeed sensor,https://www.amazon.it/MPXV7002DP-Trasduttore-Componenti-Elettrici-Rilevamento/dp/B0CCBVFR63/ref=sr_1_6?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=20OCVJZWLYBAF&keywords=MPXV7002DP&qid=1700581442&sprefix=mpxv7002dp%2Caps%2C427&sr=8-6
Wireless communication module,2 XBEE Pro S2C,https://www.amazon.com/XBee-2mW-Wire-Antenna-ZigBee/dp/B007R9U1QA/ref=sr_1_2?crid=3LOS7XYN7PXIJ&keywords=Xbee+2.4+GHz&qid=1699382906&sprefix=xbee+2.4+ghz%2Caps%2C396&sr=8-2
Main power,2 18650 Lithium-ion batteries 3.7V 9900mAh,https://www.amazon.com/CWUU-Rechargeable-Capacity-Long-Lasting-Flashlight/dp/B0CG1KL3RC/ref=sr_1_2?crid=3P3POMXFJTH3&keywords=olight+3.6v+18650+rechargeable+battery&qid=1700581116&sprefix=Olight+18650+3.6V+re%2Caps%2C217&sr=8-2
Main battery holder,1 18650 2 slot Battery Clip,https://www.amazon.com/DIANN-10pcs-18650-Battery-Holder/dp/B0BJV9ZL3J/ref=sr_1_3?crid=19KX5Q4A9PJY6&keywords=18650%2Bbattery%2Bholder%2B2%2Bslot&qid=1700579275&sprefix=18650%2Bbattery%2Bholder%2B2%2Bslot%2Caps%2C336&sr=8-3&th=1
Accessible power switch,1 Switch,https://www.amazon.it/interruttore-scorrimento-Interruttore-elettronica-Commutatore/dp/B09XXCJX29/ref=sr_1_15?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2VY85YUUFKA6Q&keywords=switch%2Barduino&qid=1699973611&sprefix=switch%2Barduino%2Caps%2C338&sr=8-15&th=1
